('года', '0.5%')
('бой', '0.43%')
('боя', '0.22%')
('армии', '0.21%')
('также', '0.19%')
('время', '0.18%')
('это', '0.18%')
('однако', '0.15%')
('сражение', '0.15%')
('году', '0.14%')
('против', '0.14%')
('противника', '0.14%')
('человек', '0.14%')
('войска', '0.14%')
('раунде', '0.13%')
('ещё', '0.12%')
('который', '0.11%')
('армия', '0.11%')
('июля', '0.11%')
('войны', '0.11%')
('2', '0.11%')
('бою', '0.11%')
('мира', '0.11%')
('около', '0.11%')
('войск', '0.1%')
('августа', '0.1%')
('весе', '0.1%')
('сражения', '0.1%')
('the', '0.09%')
('несколько', '0.09%')
('1', '0.09%')
('дивизии', '0.09%')
('сентября', '0.09%')
('3', '0.09%')
('командованием', '0.08%')
('силы', '0.08%')
('раунда', '0.08%')
('10', '0.08%')
('стал', '0.08%')
('корпус', '0.08%')
('4', '0.08%')
('июня', '0.08%')
('мая', '0.08%')
('потери', '0.08%')
('сша', '0.08%')
('чемпиона', '0.08%')
('её', '0.07%')
('кораблей', '0.07%')
('версии', '0.07%')
('5', '0.07%')
('генерала', '0.07%')
('корпуса', '0.07%')
('наступление', '0.07%')
('г', '0.07%')
('часть', '0.07%')
('сил', '0.07%')
('части', '0.07%')
('тысяч', '0.07%')
('которые', '0.07%')
('дивизия', '0.07%')
('6', '0.07%')
('получил', '0.07%')
('октября', '0.07%')
('из-за', '0.07%')
('корабли', '0.07%')
('день', '0.07%')
('титул', '0.07%')
('русских', '0.07%')
('of', '0.07%')
('англ', '0.06%')
('рефери', '0.06%')
('затем', '0.06%')
('апреля', '0.06%')
('12', '0.06%')
('генерал', '0.06%')
('8', '0.06%')
('огонь', '0.06%')
('удалось', '0.06%')
('победил', '0.06%')
('15', '0.06%')
('отряд', '0.06%')
('стороны', '0.06%')
('isbn', '0.06%')
('поединок', '0.06%')
('20', '0.06%')
('флота', '0.06%')
('начал', '0.06%')
('7', '0.06%')
('февраля', '0.06%')
('ноября', '0.06%')
('победу', '0.06%')
('ходе', '0.06%')
('солдат', '0.06%')
('кличко', '0.06%')
('нокаутом', '0.06%')
('марта', '0.05%')
('флот', '0.05%')
('ufc', '0.05%')
('позиции', '0.05%')
('м', '0.05%')
('второй', '0.05%')
('фронта', '0.05%')
('9', '0.05%')
('двух', '0.05%')
('результате', '0.05%')
('своих', '0.05%')
('примечания', '0.05%')
('районе', '0.05%')
('30', '0.05%')
('провёл', '0.05%')
('орудий', '0.05%')
('чемпион', '0.05%')
('россии', '0.05%')
('удар', '0.05%')
('атаки', '0.05%')
('битва', '0.05%')
('решением', '0.05%')
